date	EQNR	DNB	TEL	YAR	GJF	MOWI	ORK	AKERBP	NHY	TOM
2015-09-16	0.02830974188176527	-0.009515570934256035	-0.00917431192660545	-0.0062929061784898765	-0.017781541066892448	0.049947970863683855	0.03060380479735314	-0.0020938023450586263	0.04618117229129659	0.04593639575971742
2015-09-17	0.019720624486442073	-0.021079258010118007	-0.03281622911694515	-0.016582349634626237	-0.022462562396006636	0.046979865771812124	0.02950819672131133	0.00773249738766979	0.013027082619129216	0.052816901408450745
2015-09-18	-0.01941747572815522	-0.03361344537815125	-0.035778175313059046	-0.041527313266443766	-0.045379537953795346	0.04020618556701039	0.011317704122877803	-0.04521384928716898	-0.06315445026178013	0.04195804195804187
2015-09-21	0.020938023450586263	-0.021240441801189447	-0.010353227771010887	-0.02822466836014681	-0.020270270270270285	0.05882352941176472	0.030228758169934533	0.0042283298097252064	-0.04757085020242913	0.07067137809187285
2015-09-22	0.026427962489343537	-0.0317324185248713	-0.0068111455108358365	-0.03181427343078236	-0.0238297872340425	0.021428571428571352	0.028006589785831926	0.04605553107095628	-0.056872037914691975	0.08540925266903909
2015-09-23	0.02482876712328763	-0.012389380530973493	-0.018495684340320562	-0.02209302325581397	-0.020530367835757124	0.023445463812436396	0.025619834710743694	0.02893674293405102	-0.05373751291767148	0.08041958041958042
2015-09-24	-0.013377926421404673	-0.060230292294065624	-0.014276846679081245	-0.07022634939059791	-0.02839931153184161	0.038539553752535705	0.019720624486442073	-0.05231560891938247	-0.0493955094991364	0.06206896551724128
2015-09-25	-0.008906882591093068	-0.06200873362445414	0.0012345679012344402	-0.03857225100748407	-0.0060344827586207295	0.05649157581764119	0.00882825040128421	-0.05434326479227858	-0.03904923599320875	0.07094594594594605
2015-09-28	-0.040290088638195054	-0.09216192937123158	-0.01048735348550267	-0.0445841669048298	-0.03404255319148941	0.03648915187376711	-0.01273885350318471	-0.09290750725839891	-0.06903553299492382	0.0635451505016722
2015-09-29	-0.007425742574257432	-0.0634782608695652	-0.0191713048855906	-0.021227100901424656	-0.03197925669835788	0.04757185332011882	-0.011191047162270151	-0.04010238907849839	-0.037024100593782694	0.08053691275167796
2015-09-30	0.018047579983593076	-0.0390625	-0.02215384615384608	-0.013941330235260008	-0.012068965517241459	0.06588003933136677	0.0007930214115781098	0.0	0.004605030109812169	0.05610561056105601
2015-10-01	0.054817275747508276	0.00797165633303809	-0.021197007481296826	0.010657193605683846	-0.0043591979075849885	0.06293706293706314	0.014423076923076872	0.09542869180535085	0.02404881550610205	0.042622950819672045
2015-10-02	0.05597326649958223	0.0008960573476703981	-0.024497487437185828	0.00921521997621877	-0.006113537117903967	0.06075697211155373	0.01450443190975026	0.14235884020056688	0.03749544958136153	0.032362459546925626
2015-10-05	0.12372881355932197	0.08482563619227146	0.01196473551637256	0.07397003745318376	0.04694419840566866	0.0771484375	0.043513295729250556	0.20814479638009042	0.08648255813953476	0.022727272727272707
2015-10-06	0.12336601307189543	0.0893854748603351	0.020345252774352618	0.0479041916167664	0.025151777970511713	0.03752345215759845	0.035003977724741286	0.20368315952962068	0.09929328621908118	-0.006309148264984188
2015-10-07	0.21494542401343408	0.16413662239089177	0.02431421446384041	0.04187855219862402	0.0396475770925111	0.03615604186489074	0.04112903225806441	0.27800640146319155	0.1592148309705561	-0.012578616352201255
2015-10-08	0.16375727348295932	0.12256267409470745	0.021437578814627933	0.03238265002970886	0.045535714285714235	0.01797540208136228	0.04122877930476965	0.2255555555555555	0.12803772216177012	-0.03416149068322982
2015-10-09	0.14746172441579386	0.08310749774164417	0.03020767778477018	0.045949926362297555	0.01919720767888311	-0.002767527675276882	0.016640253565768592	0.17157894736842105	0.15091678420310295	-0.04062500000000002
2015-10-12	0.09212598425196838	0.04305799648506148	0.046496815286624305	0.025776215582894002	0.0026269702276706663	0.022556390977443552	0.018957345971563955	0.033653846153846256	0.13669821240799163	-0.028301886792452824
2015-10-13	0.08465189873417711	0.040286481647269445	0.054732775273663936	0.016494845360824906	-0.0008787346221440506	0.03192488262910809	0.0428911834789516	0.029580152671755844	0.12175438596491217	-0.018808777429467072
2015-10-14	0.03921568627450989	0.018245004344048743	0.0012445550715620701	-0.006102877070619073	-0.04991539763113373	-0.0072529465095194645	0.01698841698841691	0.02621722846441954	0.0779264214046822	0.0031746031746031633
2015-10-15	0.021818181818181737	-0.0008547008547008517	-0.017522658610271913	0.012285714285714233	-0.040609137055837574	-0.01717902350813738	0.020753266717909336	0.03963133640552985	0.027000964320154308	0.041269841269841345
2015-10-16	-0.018659295093296446	-0.050529747351263254	0.0018259281801582539	0.005742176284811995	-0.03389830508474578	-0.017447199265381186	0.024012393493415995	0.0017889087656530744	0.009720915647538408	0.047770700636942776
2015-10-19	0.004999999999999893	-0.0347394540942928	0.02654320987654324	0.020143884892086295	-0.016225448334756587	0.008364312267657992	0.03416149068322971	-0.01903898458748865	0.029581993569131937	0.05144694533762051
2015-10-20	-0.02387640449438211	-0.026688907422852348	0.02199144777031159	0.005350605463249725	-0.017123287671232834	0.0009250693802036469	0.046765393608729555	-0.032345013477088846	-0.058210784313725505	0.0684039087947883
2015-10-21	0.00216294160057684	-0.030328559393428933	0.015216068167985375	0.058252427184466216	-0.004366812227074246	-0.0009191176470587648	0.05193798449612386	-0.018604651162790753	-0.03422756706753005	0.09061488673139162
2015-10-22	0.0430342815463165	-0.05249569707401036	0.024420024420024333	0.1005505650536076	0.0026385224274405594	0.0036396724294813776	0.04417364813404401	-0.037998146431881485	-0.05630278385986853	0.060702875399361034
