date	EQNR	DNB	TEL	YAR	GJF	MOWI	ORK	AKERBP	NHY	TOM	SALM	SCHB	SCHA	LSG	BAKKA	NEL	AKER	STB	SSO	KOG	ENTRA	SUBC	SRBANK	NOD	AUSS
2015-09-14	-0.027477102414654397	-0.02249134948096876	-0.00795107033639153	-0.016018306636155666	-0.0101608806096527	0.020811654526534884	0.0008271298593878207	-0.06658291457286436	0.03126110124333925	0.010600706713780994	0.05263157894736836	-0.01171875	0.006691449814126393	0.047101449275362306	0.022403258655804503	-0.029268292682926633	-0.0034364261168384758	0.06894022735606886	0.040000000000000036	-0.015503875968992165	-0.017921146953404965	-0.054545454545454564	-0.0113378684807256	-0.050974173085636565	0.033950617283950546
2015-09-21	0.04366438356164393	0.019469026548672552	0.0018495684340320562	0.0008720930232557489	-0.007698887938408894	0.03669724770642202	0.04214876033057857	0.06550022431583669	-0.02755769893213922	0.05944055944055937	0.007692307692307665	0.05138339920948609	0.030280649926144765	0.02422145328719716	0.003984063745019917	0.005025125628140614	0.02758620689655178	0.07547169811320775	-0.002262443438914019	0.0	-0.007299270072992692	0.03384615384615386	0.006880733944954143	-0.06254476008593934	0.03482587064676612
2015-09-28	-0.022969647251845915	-0.08506944444444442	-0.012923076923076926	-0.029044437990124905	-0.02155172413793105	0.0334316617502457	-0.016653449643140306	-0.0791578947368421	-0.025504782146652416	0.04950495049504955	0.01908396946564883	-0.007518796992481147	-0.0014336917562723928	0.03040540540540526	0.051587301587301626	-0.0050000000000000044	-0.04026845637583898	-0.12344497607655502	-0.08163265306122447	-0.023622047244094557	-0.003676470588235281	-0.08630952380952384	-0.036446469248291646	0.04863763687293088	0.009615384615384581
2015-10-05	0.11335012594458438	0.09203036053130909	0.0018703241895261513	0.029314986539036747	0.041409691629956	0.049476688867745144	0.04435483870967749	0.2208504801097393	0.08687749909123954	-0.009433962264150941	0.05243445692883886	0.018939393939394034	0.06927494615936802	0.039344262295082144	0.037735849056603765	-0.02010050251256279	0.15034965034965042	0.03202328966521106	0.03456790123456788	0.0	0.007380073800737907	0.1123778501628665	0.023640661938534313	0.026954832442933396	0.05238095238095242
2015-10-12	0.046003016591251944	0.0312771503040834	0.022401991288114598	0.017727404824178894	-0.03130287648054153	-0.013599274705349051	-0.0038610038610038533	0.0065543071161049404	0.08461538461538476	-0.01904761904761909	-0.02491103202846978	-0.0037174721189591198	-0.05035246727089626	0.009463722397476282	-0.06909090909090909	0.02051282051282044	0.05167173252279644	0.012693935119887145	-0.021479713603818618	0.040322580645161255	0.01098901098901095	0.04758418740849191	0.01847575057736739	-0.03759754078978472	-0.022624434389140302
2015-10-19	0.014419610670511895	-0.016849199663016012	0.012172854534388211	0.012278697886921819	0.006113537117903967	-0.0027573529411764053	0.032558139534883734	0.006511627906976791	-0.012642614862781287	0.058252427184465994	-0.08029197080291972	-0.003731343283582045	0.03499469777306485	-0.1343749999999999	-0.0078125	-0.09547738693467334	-0.017341040462427793	0.004526462395543218	0.004878048780487809	0.0	-0.025362318840579712	-0.06359189378057295	-0.027210884353741527	0.006142506142506221	-0.09629629629629632
2015-10-26	0.008528784648187848	-0.05998286203941727	0.03728202044497886	0.06488011283497874	0.11631944444444442	0.035023041474654404	0.048048048048048075	-0.03604436229205177	-0.03185509056839486	0.051987767584097844	0.06349206349206349	0.04868913857677892	0.039275956284152924	0.05054151624548742	0.06299212598425186	0.04444444444444429	-0.020588235294117685	-0.03015597920277302	0.07038834951456296	0.023255813953488413	0.0037174721189590088	0.016417910447761086	-0.07692307692307687	0.007570207570207543	0.03995901639344268
2015-11-02	-0.03382663847780132	-0.010027347310847867	-0.07304347826086954	0.038145695364238286	0.017107309486780853	0.017809439002671512	-0.015759312320916874	-0.003835091083413178	-0.01806451612903226	0.06395348837209291	0.05970149253731338	-0.06071428571428572	-0.06671048307591199	0.04467353951890041	0.007407407407407529	-0.010638297872340385	0.012012012012011963	0.06004288777698363	-0.0022675736961451642	-0.00757575757575768	0.09259259259259256	-0.01615271659324513	0.04040404040404044	0.03490063015026679	0.029556650246305383
2015-11-09	0.029905178701677526	0.05524861878453047	-0.031894934333958735	-0.006379178361826998	0.005351681957186383	-0.011373578302712128	0.01455604075691408	0.16458132820019244	0.05978975032851497	0.002732240437158362	-0.014084507042253502	0.06083650190114076	0.033450704225352235	-0.016447368421052655	-0.11029411764705876	-0.021505376344086002	0.023738872403560762	0.07046527309507744	-0.015909090909090984	0.026717557251908497	-0.01016949152542368	0.06865671641791038	0.0	-0.030444964871194524	-0.009569377990430672
2015-11-16	-0.0729461756373937	-0.048865619546247796	-0.03423772609819131	0.04442732408834105	0.015209125475285079	0.014159292035398119	0.00430416068866557	-0.05371900826446285	-0.03130812151270923	0.021798365122615904	-0.0071428571428571175	-0.007168458781361964	-0.005110732538330498	-0.01672240802675584	0.010330578512396604	0.09340659340659352	-0.023188405797101463	-0.038425196850393695	0.03926096997690531	0.018587360594795488	-0.020547945205479423	-0.07681564245810057	-0.06067961165048541	-0.0748792270531401	-0.024154589371980673
2015-11-23	0.018334606569900824	0.008256880733944927	0.03879598662207373	-0.022621096631423643	0.03595505617977546	0.013961605584642323	0.0128571428571429	0.026200873362445476	0.03520000000000012	0.0	0.02877697841726623	0.09386281588447654	0.09178082191780823	0.05102040816326525	-0.053169734151329306	-0.025125628140703626	0.029673590504450953	0.04192597445135915	-0.07333333333333325	0.029197080291970767	0.0	0.041603630862329766	0.012919896640826822	0.008616187989556323	0.03960396039603964
2015-11-30	0.008252063015753874	0.04094631483166511	-0.02446877012234394	0.012075471698113294	0.014461315979754197	0.011187607573149627	-0.0042313117066292705	-0.02297872340425533	0.03863987635239563	0.005333333333333412	0.020979020979021046	0.0	-0.01035131744040152	0.03559870550161803	0.021598272138228847	0.21134020618556715	-0.011527377521613813	0.006601697579377674	-0.016786570743405393	-0.03191489361702127	0.0174825174825175	0.004357298474945592	-0.012755102040816313	0.06135128138752255	0.023809523809523725
